transaction_id,customer_id,customer_name,product_id,price,product_name,category,purchase_location,city,transaction_date,quantity,payment_method,discount,email,phone,payment_status
1,642,Troy Mitchell,108,15000.0,Mixer grinder,Home Appliances,offline,Bangalore,2025-12-06 00:00:00,3,UPI,0.1,Troy60@gmail.com,8385276968,successful
2,881,Sarah Guerrero,102,70000.0,Phone,ELEC,online,Bangalore,2025-07-21 00:00:00,5,Card,0.35,SarahGuerrero@yahoo.com,7147248911,successful
3,505,Samantha Hull,109,65000.0,Refrigerator,Home Appliances,offline,Chennai,2025-07-11 00:00:00,2,UPI,0.05,SamanthaHull@outlook.com,7415321565,successful
4,794,Gerald Cooper,106,80000.0,sofa,FURN,offline,Chennai,2025-10-06 00:00:00,2,UPI,0.05,GeraldCooper@gmail.com,9739354201,successful
5,864,Cameron Black,108,15000.0,Mixer grinder,home appliances,offline,Chennai,2025-12-12 00:00:00,1,Cash,0.05,CameronBlack@yahoo.com,9938169477,successful
6,181,Maria Robinson,101,250000.0,laptop,Electronics,online,Delhi,2025-07-25 00:00:00,5,NetBanking,0.35,MariaRobinson@gmail.com,8794772717,successful
6,181,Maria Robinson,101,250000.0,laptop,Electronics,online,Delhi,2025-07-25 00:00:00,5,NetBanking,0.35,MariaRobinson@gmail.com,8794772717,failed
7,142,Charles Brown,101,250000.0,laptop,ELEC,online,Hyderabad,2026-03-03 00:00:00,2,UPI,0.05,Charles7@gmail.com,9980826322,successful
8,457,Cathy Harris,102,70000.0,phone,Electronics,online,Hyderabad,02-19-2026,1,Card,0.05,Cathy90@gmail.com,8396657576,successful
9,749,Linda Lara,110,,Microwave,home appliances,offline,Mumbai,2025-08-30 00:00:00,3,Card,0.3,LindaLara@outlook.com,7476164201,successful
10,146,Jose Thomas,102,70000.0,PHONE,electronics,offline,Bangalore,2025-12-16 00:00:00,2,UPI,0.4,JoseThomas@outlook.com,8398779963,successful
11,946,Lisa Cochran,104,8000.0,Shoes,CLOTH,offline,Delhi,2025-12-15 00:00:00,4,Card,0.3,LisaCochran@gmail.com,8354440319,successful
12,757,Yvette Clark,106,80000.0,SOFA,FURN,online,Hyderabad,06-30-2025,3,UPI,0.25,YvetteClark@gmail.com,6025126334,successful
13,838,Susan Torres,109,65000.0,REFRIGERATOR,home appliances,offline,Chennai,2025-06-14 00:00:00,5,Cash,0.35,SusanTorres@outlook.com,8776486426,successful
14,117,Brent Clark,109,65000.0,refrigerator,home appliances,offline,Delhi,2026-02-24 00:00:00,5,Card,0.2,BrentClark@gmail.com,9054087598,successful
15,923,George Wilkinson,109,65000.0,refrigerator,home appliances,online,Mumbai,2026-01-31 00:00:00,5,UPI,0.25,GeorgeWilkinson@gmail.com,6517059222,successful
16,765,Eric Gaines,104,8000.0,SHOES,clothing,offline,Bangalore,08-20-2025,5,NetBanking,0.15,EricGaines@yahoo.com,7665911327,successful
17,570,Donald Carter,102,,phone,ELEC,offline,Chennai,2025-05-19 00:00:00,3,NetBanking,0.15,Donald21@gmail.com,7944230219,successful
18,973,Allen Gilbert,108,15000.0,Mixer grinder,home appliances,offline,Mumbai,05-15-2025,2,Card,0.15,AllenGilbert@outlook.com,7543149731,successful
19,786,Jeremiah Simmons,103,,SHIRT,Clothing,offline,Chennai,2025-09-07 00:00:00,4,Cash,0.2,JeremiahSimmons@outlook.com,7139465116,successful
