transaction_id,customer_id,customer_name,product_id,price,product_name,category,purchase_location,city,transaction_date,quantity,payment_method,discount,email,phone,payment_status
1,642,Troy Mitchell,108,15000.0,mixer grinder,home appliances,offline,Bangalore,2025-12-06,3,UPI,0.1,40a175d94b67c5b138751e12e16c6ea52cdbc0ab22559fe806ac2eeca13b7f76,XXXXXX6968,successful
2,881,Sarah Guerrero,102,70000.0,phone,electronics,online,Bangalore,2025-07-21,5,Card,0.35,24ebfd46331edd85d7f408a907f7a6b0f75b1204bb7ca18fa01cb69fe9629578,XXXXXX8911,successful
3,505,Samantha Hull,109,65000.0,refrigerator,home appliances,offline,Chennai,2025-07-11,2,UPI,0.05,a591c2c7e3daa665f8db77a6444c0bdd92d4891127dfdf478b5d89494fe8860a,XXXXXX1565,successful
4,794,Gerald Cooper,106,80000.0,sofa,furniture,offline,Chennai,2025-10-06,2,UPI,0.05,48f7c7da0f1149d18db2ff590fcd581d208473f5e9164d4e892a313d7ee3e354,XXXXXX4201,successful
5,864,Cameron Black,108,15000.0,mixer grinder,home appliances,offline,Chennai,2025-12-12,1,Cash,0.05,f842de5fc6e0b75b586d413b7f3d48e6dc07751f2385c2bd38e503377b43b861,XXXXXX9477,successful
6,181,Maria Robinson,101,250000.0,laptop,electronics,online,Delhi,2025-07-25,5,NetBanking,0.35,35422c1d429d29fd2762fbd57ed7705b3be3f22ec4f67a573b7f5bb5321a12fa,XXXXXX2717,successful
7,142,Charles Brown,101,250000.0,laptop,electronics,online,Hyderabad,2026-03-03,2,UPI,0.05,dd8e7e1212fb3dadf7d88f50f3662b130bb9658196408112c7b3c2319d2f2159,XXXXXX6322,successful
8,457,Cathy Harris,102,70000.0,phone,electronics,online,Hyderabad,2026-02-19,1,Card,0.05,50ae2f3087f040cb08fb469964bd35e3fda48e18b7f834d2fa7e982e7593b5ba,XXXXXX7576,successful
10,146,Jose Thomas,102,70000.0,phone,electronics,offline,Bangalore,2025-12-16,2,UPI,0.4,abd7e3dafa4e2a5244ee3c32d8cbf9a1693aa8e69bd4931a3d3be98d6776180f,XXXXXX9963,successful
11,946,Lisa Cochran,104,8000.0,shoes,clothing,offline,Delhi,2025-12-15,4,Card,0.3,de0b75129679b50c6e972d740b5d620d1096d3feed03f8ab772ec191ca6ea6e4,XXXXXX0319,successful
12,757,Yvette Clark,106,80000.0,sofa,furniture,online,Hyderabad,2025-06-30,3,UPI,0.25,fb83e27ab1213d4d5e5851d2d484c4c7ccf0287f07aa72434328697fb67265cc,XXXXXX6334,successful
13,838,Susan Torres,109,65000.0,refrigerator,home appliances,offline,Chennai,2025-06-14,5,Cash,0.35,d963ec958fe698223197322410b345061770c0599a9638fd33e321690a5f8ae6,XXXXXX6426,successful
14,117,Brent Clark,109,65000.0,refrigerator,home appliances,offline,Delhi,2026-02-24,5,Card,0.2,c5f829302296e1c2e9c8ce7f4a59fa56e01d59488851053529fb66a3ad5061dd,XXXXXX7598,successful
15,923,George Wilkinson,109,65000.0,refrigerator,home appliances,online,Mumbai,2026-01-31,5,UPI,0.25,e7f779b76a2b0d1be8c1ec2ccd3f8685316ed57130009eacec74f64ce3ef4362,XXXXXX9222,successful
16,765,Eric Gaines,104,8000.0,shoes,clothing,offline,Bangalore,2025-08-20,5,NetBanking,0.15,7994dd1de38b1118558ca1ca7d41855a8c0c42f7ff4044447b62896a94acecba,XXXXXX1327,successful
18,973,Allen Gilbert,108,15000.0,mixer grinder,home appliances,offline,Mumbai,2025-05-15,2,Card,0.15,75bd6f84632b1688ccf56ddc68770b36b05811d27807b5f5fb0655d10e95184c,XXXXXX9731,successful
20,576,Angela Weiss,104,8000.0,shoes,clothing,online,Delhi,2025-07-05,1,Card,0.15,25a9d1c837f4bf2812bcc3ed8ebb759fe08eeb63c6e02247ad8cc10d86874f62,XXXXXX3539,successful
21,256,Nicole Williams,109,65000.0,refrigerator,home appliances,online,Chennai,2025-12-10,3,UPI,0.05,23f282bd744c97705ad26bcf56a6d8c77539f407c2457adf39ae0014fe17b9b4,XXXXXX1732,successful
22,737,Kimberly Lloyd,109,65000.0,refrigerator,home appliances,online,Delhi,2025-03-11,4,UPI,0.4,f804854d80f8e7b8282b518b85d49a3b04e31e00e852d6b85bd0c5c316d7de7a,XXXXXX2093,successful
24,799,Stephanie Dunn,108,15000.0,mixer grinder,home appliances,offline,Delhi,2025-05-16,3,Cash,0.25,08194ee6d135d934e7d0321240c43f7fd76a2cb0f9dbcb3c7e8f9c7daf748b66,XXXXXX0744,successful
25,249,Alyssa Henderson,102,70000.0,phone,electronics,online,Bangalore,2025-08-29,1,Card,0.3,e85a7a09d6dca5929883dce5a1217bb242b0d7843835621294dd1c824464795a,XXXXXX5109,successful
26,149,Ashley Mejia,106,80000.0,sofa,furniture,offline,Chennai,2026-01-28,1,Cash,0.05,8318efc7a721b12bf05c325351d78424b571cb4130b1f8a2602d30190b28e09c,XXXXXX6443,successful
27,927,Bradley Sparks,105,45000.0,tv,electronics,offline,Chennai,2025-11-13,5,UPI,0.2,a024997c5651f4411537ebb806814534febcace615b62465d94f79bb8ebae92f,XXXXXX0514,successful
28,868,Timothy Henderson,107,50000.0,dining table,furniture,offline,Hyderabad,2025-11-12,1,Card,0.3,f1b5203b101f9022599b48a3b2ab5b84df11f001df2ef25839a2056d931fd23c,XXXXXX8386,successful
29,1,Karen Pollard,109,65000.0,refrigerator,home appliances,online,Hyderabad,2025-06-28,2,Card,0.3,38878d194d81226c14a1998858917cc7069bd1cafc635e6fa376320e9f561484,XXXXXX6363,successful
30,980,Alexis Andrews,106,80000.0,sofa,furniture,online,Delhi,2025-07-10,5,Card,0.05,ee79682e79ab757b458c0e1301e157db99d1fd134c1be6eac5f2c32a0b0b24e6,XXXXXX3841,successful
31,455,Morgan Wright,107,50000.0,dining table,furniture,offline,Bangalore,2025-06-03,4,NetBanking,0.3,021fdd12229b1dccb0b46f65afcc82ea433e5a1babe490a350ddbc1718c8b2a2,XXXXXX4087,successful
32,367,Joshua Tate,105,45000.0,tv,electronics,offline,Delhi,2025-11-14,4,Cash,0.4,ab0006ae0a752b7d16e45025179a49302ecc828b1171fd3ef17ae8925ff6cc4d,XXXXXX3716,successful
34,968,Keith Davis,107,50000.0,dining table,furniture,offline,Hyderabad,2025-11-09,4,Cash,0.15,7200b56e33ad623e51c35b5b9703e693c583e789d0cf8352ade3392e81b3a460,XXXXXX4512,successful
35,390,Erika Knight,110,45000.0,microwave,home appliances,online,Mumbai,2025-05-25,2,Card,0.1,002e230a14753479faa5bef3a74da4610e857b4e4b7b992a12ef59e25302bbf3,XXXXXX7025,successful
36,528,Kerri Rodriguez,102,70000.0,phone,electronics,offline,Chennai,2025-07-19,2,NetBanking,0.1,8c51fb1e34f92f845932b5204e80a397331a4d8abc4058dd2e132f4d5da91a7b,XXXXXX0493,successful
37,46,Mallory Boyd,103,1300.0,shirt,clothing,offline,Delhi,2026-01-07,3,UPI,0.1,759d457bc519089082643577b0a740c82c9cbcbf86a064f885dacfe803adf1d9,XXXXXX2449,successful
38,437,Carrie Landry,104,8000.0,shoes,clothing,offline,Delhi,2026-01-21,1,Cash,0.25,fe3c471c23522b47421db9cae00a4f01e88ee91705ab924c3e24203cef5bc63e,XXXXXX2206,successful
39,234,Kristin Taylor,104,8000.0,shoes,clothing,offline,Delhi,2025-12-01,1,Cash,0.1,495666da97215ae82318316ff943a8800abae2e5a395c4d59f51b9b361c5e840,XXXXXX3410,successful
